City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,port moresby,-9.4431,147.1797,82.06,77,100,7.67,PG,1708406500
237,broken hill,-31.95,141.4333,94.05,11,60,9.53,AU,1708406024
238,imbituba,-28.24,-48.6703,71.08,88,91,4.5,BR,1708406501
239,staraya russa,57.9944,31.3608,20.98,91,100,8.5,RU,1708406501
240,paita,-5.0892,-81.1144,77.59,82,98,2.53,PE,1708406501
241,taligaman,8.9044,125.6558,86.38,57,86,3.36,PH,1708406501
242,alofi,-19.0595,-169.9187,80.78,89,100,15.88,NU,1708406002
243,jamaame,0.0697,42.745,82.51,67,75,13.82,SO,1708406502
244,allada,6.6655,2.1514,83.16,88,1,3.38,BJ,1708406502
245,bel ombre,-4.6167,55.4167,84.04,79,40,13.8,SC,1708406502
246,pacasmayo,-7.4006,-79.5714,76.86,76,61,9.26,PE,1708406502
247,san jose del guaviare,2.5729,-72.6459,77.23,64,96,2.26,CO,1708406036
248,cacheu,12.2706,-16.1658,70.59,73,100,4.65,GW,1708406503
249,qinhuangdao,39.9317,119.5883,24.71,21,100,18.14,CN,1708406503
250,fort st. john,56.2499,-120.8529,27.64,73,51,2.62,CA,1708405976
251,northam,51.0333,-4.2167,48.61,98,100,11.99,GB,1708405990
252,tralee,52.2704,-9.7026,49.93,89,100,11.21,IE,1708405977
253,lakatoro,-16.0999,167.4164,85.23,73,56,7.45,VU,1708406504
254,wailua homesteads,22.0669,-159.378,70.59,58,75,12.66,US,1708405945
255,betioky,-23.7167,44.3833,78.13,57,15,9.35,MG,1708406505
256,gazojak,41.1875,61.4036,25.05,45,0,2.51,TM,1708406505
257,gorontalo,0.5412,123.0595,86.05,73,66,1.5,ID,1708406505
258,bikenibeu village,1.3673,173.1241,87.76,74,75,16.11,KI,1708406059
259,lihue,21.9789,-159.3672,71.19,58,75,12.66,US,1708405957
260,siasi,5.5462,120.8145,81.19,72,96,1.59,PH,1708406506
261,darab,28.7519,54.5444,51.82,32,0,1.52,IR,1708406506
262,rikaze,29.25,88.8833,39.38,23,0,0.47,CN,1708406506
263,qandala,11.472,49.8728,76.17,58,53,2.77,SO,1708405948
264,shahrak,34.1074,64.3052,27.21,52,5,2.24,AF,1708406507
265,aromashevo,56.8602,68.6375,-4.58,85,21,11.01,RU,1708406507
266,loango,-4.6719,11.8312,78.46,89,40,4.61,CG,1708406507
267,yanam,16.7333,82.2167,90.55,34,26,3.11,IN,1708406508
268,polyarnyy,69.1989,33.4478,21.92,85,89,21.3,RU,1708405924
269,irati,-25.4672,-50.6511,60.93,100,99,1.66,BR,1708406508
270,smithers,54.7804,-127.1743,30.52,86,100,2.3,CA,1708406509
271,bechar,31.6167,-2.2167,46.72,46,0,3.44,DZ,1708406509
272,kuta,-8.7233,115.1723,89.55,74,20,10.36,ID,1708406510
273,touros,-5.1989,-35.4608,79.65,85,47,4.23,BR,1708406044
274,saipan,15.1355,145.701,81.3,74,75,26.46,MP,1708405976
275,haiku-pauwela,20.9219,-156.3051,70.03,70,40,12.66,US,1708406066
276,enewetak,11.3474,162.3373,79.45,69,99,20.36,MH,1708405958
277,manokwari,-0.8667,134.0833,77.85,89,100,8.12,ID,1708405923
278,cuamba,-14.8031,36.5372,71.6,87,55,4.14,MZ,1708406511
279,waddan,29.1614,16.139,50.72,76,0,5.19,LY,1708406064
280,rawson,-43.3002,-65.1023,68.43,54,0,14.54,AR,1708406239
281,port mathurin,-19.6833,63.4167,79.59,65,53,21.54,MU,1708405960
282,kenora,49.8167,-94.4337,22.17,42,0,8.05,CA,1708406512
283,sandnessjoen,66.0217,12.6316,28.51,86,75,6.91,NO,1708405935
284,ko pha ngan,9.7578,100.0291,83.08,76,44,7.78,TH,1708406427
285,sisimiut,66.9395,-53.6735,9.63,95,96,15.68,GL,1708406034
286,penhalonga,-18.8911,32.6978,62.67,83,39,1.97,ZW,1708406513
287,sola,-13.8833,167.55,84.31,69,99,0.76,VU,1708406514
288,pacific grove,36.6177,-121.9166,58.66,80,20,18.01,US,1708405945
289,masjed soleyman,31.9364,49.3039,58.42,52,0,0.56,IR,1708406514
290,porto velho,-8.7619,-63.9039,77.05,94,75,3.44,BR,1708406514
